"code","area","task","requirement","acs_page","primary_references","lesson","card_or_question","exercise","status"
"UA.I.B.K10","I","B","VLOS operations","3","Part 107; AC 107-2","docs/07-domain-knowledge-handbook.md#5-visual-line-of-sight-and-human-performance","REG-13","EX-ADM-01","complete"
"UA.I.B.K11","I","B","Visual observer requirements","3","Part 107; AC 107-2","docs/07-domain-knowledge-handbook.md#5-visual-line-of-sight-and-human-performance","REG-14","EX-ADM-01","complete"
"UA.I.B.K12","I","B","Multiple-sUAS prohibition","3","Part 107; AC 107-2","docs/02-acs-study-guide.md#b-operating-rules--uaib","REG-15","EX-ADM-01","complete"
"UA.I.B.K13","I","B","Hazardous-material prohibition","3","Part 107; AC 107-2","docs/02-acs-study-guide.md#b-operating-rules--uaib","SUP-UA-I-B-K13","EX-ADM-01","complete"
"UA.I.B.K14","I","B","Right-of-way and remaining well clear","3","Part 107; AC 107-2","docs/02-acs-study-guide.md#b-operating-rules--uaib","REG-16","EX-ADM-01","complete"
"UA.I.B.K14a","I","B","See-and-avoid responsibilities","3","Part 107; AC 107-2","docs/02-acs-study-guide.md#b-operating-rules--uaib","REG-16","EX-ADM-01","complete"
"UA.I.B.K15","I","B","Operations over human beings","3","Parts 89/107; AC 107-2","docs/07-domain-knowledge-handbook.md#7-operations-over-people-and-vehicles","REG-25|REG-26|REG-27|REG-28","EX-ADM-01","complete"
"UA.I.B.K16","I","B","Airspace authorization requirement","3","Part 107; AC 107-2","docs/07-domain-knowledge-handbook.md#authorization-workflow","REG-17","EX-CHART-01|EX-CHART-02|EX-AIRSPACE-03","complete"
"UA.I.B.K17","I","B","Operations near airports","3","Part 107; AIM","docs/07-domain-knowledge-handbook.md#9-airport-environment-and-communications","SUP-UA-I-B-K17","EX-ADM-01","complete"
"UA.I.B.K18","I","B","Prohibited and restricted areas","3","Part 107; AIM","docs/07-domain-knowledge-handbook.md#special-use-and-temporary-restrictions","AIR-04","EX-CHART-01|EX-CHART-02|EX-AIRSPACE-03","complete"
"UA.I.B.K19","I","B","NOTAM flight restrictions","3","Part 107; AIM","docs/07-domain-knowledge-handbook.md#special-use-and-temporary-restrictions","AIR-06","EX-CHART-01|EX-CHART-02|EX-AIRSPACE-03","complete"
"UA.I.B.K20","I","B","Preflight familiarization inspection and actions","3","Part 107; AC 107-2","docs/04-field-operations.md#on-site-gono-go","REG-18","EX-ADM-01","complete"
"UA.I.B.K21","I","B","sUAS operating limitations","3","Part 107; AC 107-2","docs/02-acs-study-guide.md#b-operating-rules--uaib","REG-19","EX-CHART-01|EX-CHART-02|EX-AIRSPACE-03","complete"
"UA.I.B.K21a","I","B","Maximum groundspeed","3","Part 107; AC 107-2","docs/02-acs-study-guide.md#b-operating-rules--uaib","REG-19","EX-CHART-01|EX-CHART-02|EX-AIRSPACE-03","complete"
"UA.I.B.K21b","I","B","Altitude limitations","3","Part 107; AC 107-2","docs/02-acs-study-guide.md#b-operating-rules--uaib","REG-002|REG-20","EX-CHART-01|EX-CHART-02|EX-AIRSPACE-03","complete"
"UA.I.B.K21c","I","B","Minimum visibility","3","Part 107; AC 107-2","docs/02-acs-study-guide.md#b-operating-rules--uaib","REG-19","EX-CHART-01|EX-CHART-02|EX-AIRSPACE-03","complete"
"UA.I.B.K21d","I","B","Cloud clearance","3","Part 107; AC 107-2","docs/02-acs-study-guide.md#b-operating-rules--uaib","REG-19","EX-CHART-01|EX-CHART-02|EX-AIRSPACE-03","complete"
"UA.I.B.K22","I","B","Remote Pilot Certificate requirements","3","Part 107; AC 107-2","docs/01-certification-roadmap.md","SUP-UA-I-B-K22","EX-ADM-01","complete"
"UA.I.B.K23","I","B","Automated operations","3","Part 107; AC 107-2","docs/02-acs-study-guide.md#b-operating-rules--uaib","SUP-UA-I-B-K23","EX-ADM-01","complete"
"UA.I.B.K24","I","B","Civil twilight operations","4","Part 107; AC 107-2","docs/07-domain-knowledge-handbook.md#6-night-operations","SUP-UA-I-B-K24","EX-NIGHT-01","complete"
"UA.I.B.K25","I","B","Night operations","4","Part 107; AC 107-2","docs/07-domain-knowledge-handbook.md#6-night-operations","REG-12","EX-NIGHT-01","complete"
"UA.I.B.K26","I","B","Transportation of property","4","Part 107; AC 107-2","docs/02-acs-study-guide.md#b-operating-rules--uaib","REG-21","EX-ADM-01","complete"
"UA.I.B.K27","I","B","ATC transponder prohibition","4","Part 107; AC 107-2","docs/02-acs-study-guide.md#b-operating-rules--uaib","SUP-UA-I-B-K27","EX-ADM-01","complete"
"UA.I.B.K28","I","B","ADS-B Out prohibition","4","Part 107; AC 107-2","docs/02-acs-study-guide.md#b-operating-rules--uaib","SUP-UA-I-B-K28","EX-ADM-01","complete"
"UA.I.C.K1","I","C","Alcohol or drug offenses","5","Part 107 subpart C","docs/02-acs-study-guide.md#cd-certification-and-waivers--uaicd","SUP-UA-I-C-K1","EX-ADM-01","complete"
"UA.I.C.K2","I","C","Refusal of alcohol or drug testing","5","Part 107 subpart C","docs/02-acs-study-guide.md#cd-certification-and-waivers--uaicd","SUP-UA-I-C-K2","EX-ADM-01","complete"
"UA.I.C.K3","I","C","Certificate eligibility","5","Part 107 subpart C","docs/01-certification-roadmap.md#choose-the-correct-path","REG-22","EX-ADM-01","complete"
"UA.I.C.K4","I","C","Aeronautical knowledge recency","5","Part 107 subpart C","docs/01-certification-roadmap.md#stay-current","REG-23","EX-ADM-01","complete"
"UA.I.D.K1","I","D","Waiver policy and requirements","6","Part 107 subpart D","docs/02-acs-study-guide.md#cd-certification-and-waivers--uaicd","REG-24","EX-ADM-01","complete"
"UA.I.E.K1","I","E","Remote PIC responsibility over people","7","Parts 89/107","docs/07-domain-knowledge-handbook.md#7-operations-over-people-and-vehicles","REG-28","EX-ADM-01","complete"
"UA.I.E.K2","I","E","Operations over people at night","7","Parts 89/107","docs/07-domain-knowledge-handbook.md#7-operations-over-people-and-vehicles","SUP-UA-I-E-K2","EX-ADM-01","complete"
"UA.I.E.K3","I","E","Categories of operations over people","7","Parts 89/107","docs/07-domain-knowledge-handbook.md#7-operations-over-people-and-vehicles","REG-25|REG-26|REG-27","EX-ADM-01","complete"
"UA.I.E.K3a","I","E","Category 1","7","Parts 89/107","docs/07-domain-knowledge-handbook.md#7-operations-over-people-and-vehicles","REG-25","EX-ADM-01","complete"
"UA.I.E.K3b","I","E","Category 2","7","Parts 89/107","docs/07-domain-knowledge-handbook.md#7-operations-over-people-and-vehicles","REG-26","EX-ADM-01","complete"
"UA.I.E.K3c","I","E","Category 3","7","Parts 89/107","docs/07-domain-knowledge-handbook.md#7-operations-over-people-and-vehicles","REG-26","EX-ADM-01","complete"
"UA.I.E.K3d","I","E","Category 4","7","Parts 89/107","docs/07-domain-knowledge-handbook.md#7-operations-over-people-and-vehicles","REG-27","EX-ADM-01","complete"
"UA.I.E.K4","I","E","Selecting an operational area","7","Parts 89/107","docs/07-domain-knowledge-handbook.md#7-operations-over-people-and-vehicles","SUP-UA-I-E-K4","EX-ADM-01","complete"
"UA.I.E.K5","I","E","Minimum distances from a person","7","Parts 89/107","docs/07-domain-knowledge-handbook.md#7-operations-over-people-and-vehicles","SUP-UA-I-E-K5","EX-ADM-01","complete"
"UA.I.E.K6","I","E","Operations over moving vehicles","7","Parts 89/107","docs/07-domain-knowledge-handbook.md#7-operations-over-people-and-vehicles","SUP-UA-I-E-K6","EX-ADM-01","complete"
"UA.I.E.K7","I","E","Modifications to sUAS","7","Parts 89/107","docs/07-domain-knowledge-handbook.md#7-operations-over-people-and-vehicles","SUP-UA-I-E-K7","EX-ADM-01","complete"
"UA.I.E.K8","I","E","Closed and restricted-access sites","7","Parts 89/107","docs/07-domain-knowledge-handbook.md#7-operations-over-people-and-vehicles","SUP-UA-I-E-K8","EX-ADM-01","complete"
"UA.I.E.K9","I","E","Remote-pilot operating instructions","7","Parts 89/107","docs/07-domain-knowledge-handbook.md#7-operations-over-people-and-vehicles","SUP-UA-I-E-K9","EX-ADM-01","complete"
"UA.I.E.K10","I","E","Required components and category declaration","7","Parts 89/107","docs/07-domain-knowledge-handbook.md#7-operations-over-people-and-vehicles","SUP-UA-I-E-K10","EX-ADM-01","complete"
"UA.I.E.K11","I","E","Optional components","7","Parts 89/107","docs/07-domain-knowledge-handbook.md#7-operations-over-people-and-vehicles","SUP-UA-I-E-K11","EX-ADM-01","complete"
"UA.I.E.K12","I","E","Applicant-produced designed or modified sUAS","7","Parts 89/107","docs/07-domain-knowledge-handbook.md#7-operations-over-people-and-vehicles","SUP-UA-I-E-K12","EX-ADM-01","complete"
"UA.I.E.K13","I","E","Declaration of Compliance","7","Parts 89/107","docs/07-domain-knowledge-handbook.md#7-operations-over-people-and-vehicles","SUP-UA-I-E-K13","EX-ADM-01","complete"
"UA.I.E.K14","I","E","Maintenance of OOP-eligible sUAS","7","Parts 89/107","docs/07-domain-knowledge-handbook.md#7-operations-over-people-and-vehicles","SUP-UA-I-E-K14","EX-ADM-01","complete"
"UA.I.E.K15","I","E","Means of Compliance","7","Parts 89/107","docs/07-domain-knowledge-handbook.md#7-operations-over-people-and-vehicles","SUP-UA-I-E-K15","EX-ADM-01","complete"
"UA.I.E.K16","I","E","Impact kinetic energy","7","Parts 89/107","docs/07-domain-knowledge-handbook.md#7-operations-over-people-and-vehicles","SUP-UA-I-E-K16","EX-ADM-01","complete"
"UA.I.E.K17","I","E","Exposed rotating parts","7","Parts 89/107","docs/07-domain-knowledge-handbook.md#7-operations-over-people-and-vehicles","REG-25","EX-ADM-01","complete"
"UA.I.F.K1","I","F","Standard Remote ID","8","Part 89","docs/07-domain-knowledge-handbook.md#8-remote-id-operational-knowledge","REG-29","EX-ADM-01","complete"
"UA.I.F.K2","I","F","Alternative Remote ID","8","Part 89","docs/07-domain-knowledge-handbook.md#8-remote-id-operational-knowledge","REG-30|REG-31","EX-ADM-01","complete"
"UA.I.F.K3","I","F","Aeronautical research operations","8","Part 89","docs/07-domain-knowledge-handbook.md#8-remote-id-operational-knowledge","SUP-UA-I-F-K3","EX-ADM-01","complete"
"UA.I.F.K4","I","F","ADS-B Out","8","Part 89","docs/07-domain-knowledge-handbook.md#8-remote-id-operational-knowledge","SUP-UA-I-F-K4","EX-ADM-01","complete"
"UA.I.F.K5","I","F","Confirmation of identification","8","Part 89","docs/07-domain-knowledge-handbook.md#8-remote-id-operational-knowledge","SUP-UA-I-F-K5","EX-ADM-01","complete"
"UA.I.F.K6","I","F","Minimum Remote ID message elements","8","Part 89","docs/07-domain-knowledge-handbook.md#8-remote-id-operational-knowledge","REG-29","EX-ADM-01","complete"
"UA.I.F.K7","I","F","Product labeling","8","Part 89","docs/07-domain-knowledge-handbook.md#8-remote-id-operational-knowledge","SUP-UA-I-F-K7","EX-ADM-01","complete"
"UA.II.A.K1","II","A","General airspace","9","Part 71; AIM","docs/07-domain-knowledge-handbook.md#controlled-airspace-recognition","AIR-01|AIR-02|AIR-03","EX-CHART-01|EX-CHART-02","complete"
"UA.II.A.K1a","II","A","Class B controlled airspace","9","Part 71; AIM","docs/07-domain-knowledge-handbook.md#controlled-airspace-recognition","AIR-01","EX-CHART-01|EX-CHART-02","complete"
"UA.II.A.K1b","II","A","Class C controlled airspace","9","Part 71; AIM","docs/07-domain-knowledge-handbook.md#controlled-airspace-recognition","AIR-01|AIR-02","EX-CHART-01|EX-CHART-02","complete"
"UA.II.A.K1c","II","A","Class D controlled airspace","9","Part 71; AIM","docs/07-domain-knowledge-handbook.md#controlled-airspace-recognition","AIR-01","EX-CHART-01|EX-CHART-02","complete"
"UA.II.A.K1d","II","A","Class E controlled airspace","9","Part 71; AIM","docs/07-domain-knowledge-handbook.md#controlled-airspace-recognition","AIR-01","EX-CHART-01|EX-CHART-02","complete"
"UA.II.A.K1e","II","A","Class G uncontrolled airspace","9","Part 71; AIM","docs/07-domain-knowledge-handbook.md#controlled-airspace-recognition","AIR-01","EX-CHART-01|EX-CHART-02","complete"
"UA.II.A.K2","II","A","Special-use airspace","9","Part 71; AIM","docs/07-domain-knowledge-handbook.md#special-use-and-temporary-restrictions","AIR-04|AIR-05","EX-CHART-01|EX-CHART-02","complete"
"UA.II.A.K3","II","A","Other airspace areas","9","Part 71; AIM","docs/07-domain-knowledge-handbook.md#special-use-and-temporary-restrictions","AIR-06","EX-CHART-01|EX-CHART-02","complete"
"UA.II.A.K4","II","A","ATC and the NAS","9","Part 71; AIM","docs/02-acs-study-guide.md#ii-airspace-and-requirements-1525","SUP-UA-II-A-K4","EX-CHART-01|EX-CHART-02","complete"
"UA.II.B.K1","II","B","Basic weather minimums","10","Part 71; Part 107; AIM","docs/02-acs-study-guide.md#b-operational-requirements--uaiib","REG-19","EX-AIRSPACE-03|EX-NIGHT-01","complete"
"UA.II.B.K2","II","B","ATC authorizations and limitations","10","Part 71; Part 107; AIM","docs/07-domain-knowledge-handbook.md#authorization-workflow","AIR-001|AIR-07|AIR-08","EX-AIRSPACE-03|EX-NIGHT-01","complete"
"UA.II.B.K3","II","B","Operations near airports","10","Part 71; AIM","docs/07-domain-knowledge-handbook.md#9-airport-environment-and-communications","AIR-09","EX-AIRSPACE-03|EX-NIGHT-01","complete"
"UA.II.B.K4","II","B","Potential flight hazards","10","AIM; SAFO 10015","docs/02-acs-study-guide.md#b-operational-requirements--uaiib","AIR-10","EX-AIRSPACE-03|EX-NIGHT-01","complete"
"UA.II.B.K4a","II","B","Common accident causal factors","10","AIM; SAFO 10015","docs/02-acs-study-guide.md#b-operational-requirements--uaiib","SUP-UA-II-B-K4a","EX-AIRSPACE-03|EX-NIGHT-01","complete"
"UA.II.B.K4b","II","B","Avoiding flight beneath unmanned balloons","10","AIM; SAFO 10015","docs/02-acs-study-guide.md#b-operational-requirements--uaiib","SUP-UA-II-B-K4b","EX-AIRSPACE-03|EX-NIGHT-01","complete"
"UA.II.B.K4c","II","B","Emergency airborne inspection of aircraft","10","AIM; SAFO 10015","docs/02-acs-study-guide.md#b-operational-requirements--uaiib","SUP-UA-II-B-K4c","EX-AIRSPACE-03|EX-NIGHT-01","complete"
"UA.II.B.K4d","II","B","Precipitation static","10","AIM; SAFO 10015","docs/02-acs-study-guide.md#b-operational-requirements--uaiib","SUP-UA-II-B-K4d","EX-AIRSPACE-03|EX-NIGHT-01","complete"
"UA.II.B.K4e","II","B","Laser operations and illumination reporting","10","AIM; SAFO 10015","docs/02-acs-study-guide.md#b-operational-requirements--uaiib","SUP-UA-II-B-K4e","EX-AIRSPACE-03|EX-NIGHT-01","complete"
"UA.II.B.K4f","II","B","Thermal-plume avoidance","10","AIM; SAFO 10015","docs/02-acs-study-guide.md#b-operational-requirements--uaiib","SUP-UA-II-B-K4f","EX-AIRSPACE-03|EX-NIGHT-01","complete"
"UA.II.B.K4g","II","B","Wire-environment flight","10","AIM; SAFO 10015","docs/02-acs-study-guide.md#b-operational-requirements--uaiib","AIR-10","EX-AIRSPACE-03|EX-NIGHT-01","complete"
"UA.II.B.K5","II","B","NOTAM system and Flight Service","10","AIM","docs/07-domain-knowledge-handbook.md#special-use-and-temporary-restrictions","AIR-06","EX-AIRSPACE-03|EX-NIGHT-01","complete"
"UA.II.B.K6","II","B","Night-flight operator equipment","10","AIM","docs/07-domain-knowledge-handbook.md#6-night-operations","SUP-UA-II-B-K6","EX-AIRSPACE-03|EX-NIGHT-01","complete"
"UA.II.B.K7","II","B","Ground structures and lighting","10","AIM","docs/07-domain-knowledge-handbook.md#6-night-operations","SUP-UA-II-B-K7","EX-AIRSPACE-03|EX-NIGHT-01","complete"
"UA.II.B.K8","II","B","Unlighted ground hazards","10","AIM","docs/07-domain-knowledge-handbook.md#6-night-operations","AIR-10","EX-AIRSPACE-03|EX-NIGHT-01","complete"
"UA.II.B.K9","II","B","Manned-aircraft lighting","10","AIM","docs/02-acs-study-guide.md#b-operational-requirements--uaiib","AIR-11","EX-AIRSPACE-03|EX-NIGHT-01","complete"
"UA.II.B.K10","II","B","sUAS lighting requirements","10","Part 107; AIM","docs/07-domain-knowledge-handbook.md#6-night-operations","REG-12","EX-AIRSPACE-03|EX-NIGHT-01","complete"
"UA.III.A.K1","III","A","Internet weather briefing and flight-planning weather sources","11","AC 107-2; AIM; FAA-H-8083-25","docs/07-domain-knowledge-handbook.md#3-weather-interpretation","SUP-UA-III-A-K1","EX-WX-01|EX-WX-02|EX-WX-03","complete"
"UA.III.A.K2","III","A","Aviation routine weather reports METAR","11","AC 107-2; AIM; FAA-H-8083-25","docs/07-domain-knowledge-handbook.md#metar-decoding-sequence","WX-001|WX-01|WX-03|WX-04|WX-05","EX-WX-01","complete"
"UA.III.A.K3","III","A","Terminal aerodrome forecasts TAF","11","AC 107-2; AIM; FAA-H-8083-25","docs/07-domain-knowledge-handbook.md#taf-reasoning","WX-02","EX-WX-02","complete"
"UA.III.A.K4","III","A","Weather charts","11","AC 107-2; AIM; FAA-H-8083-25","docs/07-domain-knowledge-handbook.md#3-weather-interpretation","SUP-UA-III-A-K4","EX-WX-01|EX-WX-02|EX-WX-03","complete"
"UA.III.A.K5","III","A","ASOS and AWOS","11","AC 107-2; AIM; FAA-H-8083-25","docs/02-acs-study-guide.md#a-sources--uaiiia","SUP-UA-III-A-K5","EX-WX-01|EX-WX-02|EX-WX-03","complete"
"UA.III.B.K1","III","B","Weather factors and effects on performance","12","AC 107-2; AIM; FAA-H-8083-25","docs/07-domain-knowledge-handbook.md#small-drone-effects","WX-06|WX-07|WX-08|WX-09|WX-10","EX-WX-01|EX-WX-02|EX-WX-03","complete"
"UA.III.B.K1a","III","B","Density altitude","12","AC 107-2; AIM; FAA-H-8083-25","docs/02-acs-study-guide.md#b-effects-on-performance--uaiiib","WX-06","EX-WX-01|EX-WX-02|EX-WX-03","complete"
"UA.III.B.K1b","III","B","Wind and currents","12","AC 107-2; AIM; FAA-H-8083-25","docs/07-domain-knowledge-handbook.md#small-drone-effects","WX-07","EX-WX-01|EX-WX-02|EX-WX-03","complete"
"UA.III.B.K1c","III","B","Atmospheric stability pressure and temperature","12","AC 107-2; AIM; FAA-H-8083-25","docs/02-acs-study-guide.md#b-effects-on-performance--uaiiib","WX-08","EX-WX-01|EX-WX-02|EX-WX-03","complete"
"UA.III.B.K1d","III","B","Air masses and fronts","12","AC 107-2; AIM; FAA-H-8083-25","docs/02-acs-study-guide.md#b-effects-on-performance--uaiiib","SUP-UA-III-B-K1d","EX-WX-01|EX-WX-02|EX-WX-03","complete"
"UA.III.B.K1e","III","B","Thunderstorms and microbursts","12","AC 107-2; AIM; FAA-H-8083-25","docs/02-acs-study-guide.md#b-effects-on-performance--uaiiib","WX-09","EX-WX-01|EX-WX-02|EX-WX-03","complete"
"UA.III.B.K1f","III","B","Tornadoes","12","AC 107-2; AIM; FAA-H-8083-25","docs/02-acs-study-guide.md#b-effects-on-performance--uaiiib","SUP-UA-III-B-K1f","EX-WX-01|EX-WX-02|EX-WX-03","complete"
"UA.III.B.K1g","III","B","Icing","12","AC 107-2; AIM; FAA-H-8083-25","docs/02-acs-study-guide.md#b-effects-on-performance--uaiiib","WX-10","EX-WX-01|EX-WX-02|EX-WX-03","complete"
"UA.III.B.K1h","III","B","Hail","12","AC 107-2; AIM; FAA-H-8083-25","docs/02-acs-study-guide.md#b-effects-on-performance--uaiiib","SUP-UA-III-B-K1h","EX-WX-01|EX-WX-02|EX-WX-03","complete"
"UA.III.B.K1i","III","B","Fog","12","AC 107-2; AIM; FAA-H-8083-25","docs/02-acs-study-guide.md#b-effects-on-performance--uaiiib","SUP-UA-III-B-K1i","EX-WX-01|EX-WX-02|EX-WX-03","complete"
"UA.III.B.K1j","III","B","Ceiling and visibility","12","AC 107-2; AIM; FAA-H-8083-25","docs/02-acs-study-guide.md#b-effects-on-performance--uaiiib","WX-04|WX-05","EX-WX-01|EX-WX-02|EX-WX-03","complete"
"UA.III.B.K1k","III","B","Lightning","12","AC 107-2; AIM; FAA-H-8083-25","docs/02-acs-study-guide.md#b-effects-on-performance--uaiiib","SUP-UA-III-B-K1k","EX-WX-01|EX-WX-02|EX-WX-03","complete"
"UA.IV.A.K1","IV","A","General loading and performance","13","AC 107-2; FAA-H-8083-25","docs/07-domain-knowledge-handbook.md#4-aircraft-performance-and-energy","PERF-01|PERF-02|PERF-03|PERF-05","EX-PERF-01|EX-WX-03","complete"
"UA.IV.A.K1a","IV","A","Effects of loading changes","13","AC 107-2; FAA-H-8083-25","docs/07-domain-knowledge-handbook.md#4-aircraft-performance-and-energy","PERF-001|PERF-03","EX-PERF-01|EX-WX-03","complete"
"UA.IV.A.K1b","IV","A","Balance stability and center of gravity","13","AC 107-2; FAA-H-8083-25","docs/07-domain-knowledge-handbook.md#4-aircraft-performance-and-energy","PERF-02","EX-PERF-01|EX-WX-03","complete"
"UA.IV.A.K2","IV","A","Use of performance data for calculations","13","AC 107-2; FAA-H-8083-25","docs/02-acs-study-guide.md#iv-loading-and-performance-711","PERF-04","EX-PERF-01|EX-WX-03","complete"
"UA.V.A.K1","V","A","Airport operations with and without an operating tower","14","AC 107-2; AIM","docs/07-domain-knowledge-handbook.md#9-airport-environment-and-communications","SUP-UA-V-A-K1","EX-COMMS-01|EX-AIRPORT-01","complete"
"UA.V.A.K2","V","A","CTAF description and use","14","AC 107-2; AIM","docs/07-domain-knowledge-handbook.md#9-airport-environment-and-communications","OPS-01","EX-COMMS-01|EX-AIRPORT-01","complete"
"UA.V.A.K3","V","A","Manned-aircraft self-announcing procedures","14","AC 107-2; AIM","docs/02-acs-study-guide.md#ab-communications-and-airports--uava-b","SUP-UA-V-A-K3","EX-COMMS-01|EX-AIRPORT-01","complete"
"UA.V.A.K4","V","A","UNICOM and associated procedures","14","AC 107-2; AIM","docs/07-domain-knowledge-handbook.md#9-airport-environment-and-communications","OPS-02","EX-COMMS-01|EX-AIRPORT-01","complete"
"UA.V.A.K5","V","A","Automatic Terminal Information Service","14","AC 107-2; AIM","docs/07-domain-knowledge-handbook.md#9-airport-environment-and-communications","OPS-03","EX-COMMS-01|EX-AIRPORT-01","complete"
"UA.V.A.K6","V","A","Aircraft call signs and registration numbers","14","AC 107-2; AIM","docs/02-acs-study-guide.md#ab-communications-and-airports--uava-b","SUP-UA-V-A-K6","EX-COMMS-01|EX-AIRPORT-01","complete"
"UA.V.A.K7","V","A","Phonetic alphabet","14","AC 107-2; AIM","docs/02-acs-study-guide.md#ab-communications-and-airports--uava-b","OPS-04","EX-COMMS-01|EX-AIRPORT-01","complete"
"UA.V.A.K8","V","A","Phraseology for altitude direction speed and time","14","AC 107-2; AIM","docs/02-acs-study-guide.md#ab-communications-and-airports--uava-b","SUP-UA-V-A-K8","EX-COMMS-01|EX-AIRPORT-01","complete"
"UA.V.B.K1","V","B","Types of airports heliports and seaplane bases","15","AC 107-2; AIM","docs/07-domain-knowledge-handbook.md#9-airport-environment-and-communications","SUP-UA-V-B-K1","EX-AIRPORT-01|EX-RUNWAY-01","complete"
"UA.V.B.K2","V","B","Monitoring and interpreting ATC tower communications","15","AC 107-2; AIM","docs/07-domain-knowledge-handbook.md#9-airport-environment-and-communications","SUP-UA-V-B-K2","EX-AIRPORT-01|EX-RUNWAY-01","complete"
"UA.V.B.K3","V","B","Runway markings and signage","15","AC 107-2; AIM","docs/07-domain-knowledge-handbook.md#9-airport-environment-and-communications","OPS-05","EX-AIRPORT-01|EX-RUNWAY-01","complete"
"UA.V.B.K4","V","B","Manned-aircraft traffic patterns","15","AC 107-2; AIM","docs/07-domain-knowledge-handbook.md#9-airport-environment-and-communications","OPS-06","EX-AIRPORT-01|EX-RUNWAY-01","complete"
"UA.V.B.K5","V","B","Security Identification Display Areas","15","AC 107-2; AIM","docs/02-acs-study-guide.md#ab-communications-and-airports--uava-b","SUP-UA-V-B-K5","EX-AIRPORT-01|EX-RUNWAY-01","complete"
"UA.V.B.K6","V","B","Sources for airport data","15","AC 107-2; AIM","docs/02-acs-study-guide.md#ab-communications-and-airports--uava-b","OPS-07","EX-AIRPORT-01|EX-RUNWAY-01","complete"
"UA.V.B.K6a","V","B","Aeronautical charts as airport-data source","15","AC 107-2; AIM","docs/02-acs-study-guide.md#ab-communications-and-airports--uava-b","OPS-07","EX-AIRPORT-01|EX-RUNWAY-01","complete"
